               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.094789,              0.1656,            0.024149,             0.46964,             0.34664,             0.34299,             0.18554,            0.092475,             0.23432,             0.02989,           0.0082581,           0.0082581,           0.0082581
                  89,            0.094758,             0.16544,            0.023941,             0.46587,             0.34751,             0.34262,             0.18535,            0.092453,             0.23446,            0.029873,           0.0082207,           0.0082207,           0.0082207
                  90,            0.094691,              0.1652,            0.024268,             0.45775,             0.34924,             0.34187,             0.18502,            0.092476,             0.23476,            0.029903,            0.008183,            0.008183,            0.008183
                  91,            0.094582,             0.16454,            0.023974,             0.49892,              0.3301,             0.34334,             0.18516,            0.092434,             0.23487,            0.029879,            0.008145,            0.008145,            0.008145
                  92,            0.094561,             0.16493,            0.024202,             0.45091,             0.35283,             0.34388,             0.18581,             0.09238,             0.23477,            0.029873,           0.0081068,           0.0081068,           0.0081068
                  93,            0.094287,             0.16463,            0.024178,             0.46313,             0.34487,             0.34222,             0.18529,            0.092379,             0.23452,            0.029866,           0.0080682,           0.0080682,           0.0080682
                  94,            0.094182,             0.16295,            0.024109,             0.44587,             0.35481,             0.34122,             0.18557,            0.092352,              0.2345,            0.029847,           0.0080294,           0.0080294,           0.0080294
                  95,            0.094533,             0.16347,            0.024092,              0.4953,             0.33503,             0.34282,             0.18682,            0.092324,             0.23438,            0.029888,           0.0079903,           0.0079903,           0.0079903
                  96,            0.094746,             0.16568,            0.023953,              0.4745,             0.34337,             0.34335,             0.18704,             0.09233,             0.23458,            0.029895,           0.0079509,           0.0079509,           0.0079509
                  97,            0.094815,             0.16578,            0.023998,             0.45571,             0.35567,              0.3457,             0.18794,            0.092305,             0.23472,            0.029837,           0.0079112,           0.0079112,           0.0079112
                  98,            0.094182,             0.16367,            0.023765,             0.49644,             0.33976,             0.34429,             0.18739,            0.092301,             0.23459,            0.029849,           0.0078713,           0.0078713,           0.0078713
                  99,            0.094204,             0.16369,            0.023752,             0.47063,              0.3522,             0.34525,              0.1875,            0.092315,             0.23481,             0.02983,           0.0078311,           0.0078311,           0.0078311
                 100,            0.094378,             0.16418,            0.024021,              0.4635,             0.35511,             0.34641,             0.18719,            0.092306,             0.23493,            0.029821,           0.0077907,           0.0077907,           0.0077907
                 101,            0.094427,             0.16364,            0.023755,              0.4473,             0.36317,             0.34629,             0.18746,             0.09227,             0.23476,            0.029801,             0.00775,             0.00775,             0.00775
                 102,            0.094112,             0.16346,            0.023866,             0.47126,             0.35143,             0.34677,             0.18785,            0.092265,              0.2348,            0.029748,           0.0077091,           0.0077091,           0.0077091
                 103,            0.093636,             0.16437,            0.023859,             0.45793,             0.35657,             0.34563,             0.18764,             0.09234,             0.23507,            0.029816,           0.0076679,           0.0076679,           0.0076679
                 104,             0.09468,             0.16579,            0.023722,             0.46846,              0.3506,             0.34577,             0.18818,            0.092312,             0.23507,            0.029789,           0.0076265,           0.0076265,           0.0076265
